title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
Baldur’s Gate: Dark Alliance,Baldur’s Gate,2002,6th Generation,Sony PlayStation 2,,Interplay Entertainment / Larian Studios,BioWare / Larian Studios / Black Isle,RPG,Medium,Canonical publisher/developer varies strongly by era; verify exact title.,game_lists_6th_gen_enriched
Baldur’s Gate: Dark Alliance,Baldur’s Gate,2002,6th Generation,Nintendo GameBoy Advance,,Interplay Entertainment / Larian Studios,BioWare / Larian Studios / Black Isle,RPG,Medium,Canonical publisher/developer varies strongly by era; verify exact title.,game_lists_6th_gen_enriched
Baldur’s Gate: Dark Alliance,Baldur’s Gate,2002,6th Generation,Nintendo GameCube,,Interplay Entertainment / Larian Studios,BioWare / Larian Studios / Black Isle,RPG,Medium,Canonical publisher/developer varies strongly by era; verify exact title.,game_lists_6th_gen_enriched
Banjo-Kazooie: Grunty’s Revenge,Banjo-Kazooie,2003,6th Generation,Nintendo GameBoy Advance,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Banjo-Pilot,Banjo-Kazooie,2005,6th Generation,Nintendo GameBoy Advance,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Batman Begins,Batman,2005,6th Generation,Sony PlayStation 2,,Electronic Arts,Eurocom,Action-adventure,High,,game_lists_6th_gen_enriched
Batman: Rise of Sin Tzu,Batman,2003,6th Generation,Sony PlayStation 2,,Ubisoft,Ubisoft Montreal,Action-adventure,High,,game_lists_6th_gen_enriched
Batman: Vengeance,Batman,2001,6th Generation,Sony PlayStation 2,,Ubisoft,Ubisoft Montreal,Action-adventure,High,,game_lists_6th_gen_enriched
Batman Begins,Batman,2005,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,Eurocom,Action-adventure,High,,game_lists_6th_gen_enriched
Batman: Rise of Sin Tzu,Batman,2003,6th Generation,Nintendo GameBoy Advance,,Ubisoft,Ubisoft Montreal,Action-adventure,High,,game_lists_6th_gen_enriched
Batman: Vengeance,Batman,2001,6th Generation,Nintendo GameBoy Advance,,Ubisoft,Ubisoft Montreal,Action-adventure,High,,game_lists_6th_gen_enriched
Batman Begins,Batman,2005,6th Generation,Nintendo GameCube,,Electronic Arts,Eurocom,Action-adventure,High,,game_lists_6th_gen_enriched
Batman: Dark Tomorrow,Batman,2003,6th Generation,Nintendo GameCube,,Ubisoft,,Action-adventure,Medium,,game_lists_6th_gen_enriched
Batman: Rise of Sin Tzu,Batman,2003,6th Generation,Nintendo GameCube,,Ubisoft,Ubisoft Montreal,Action-adventure,High,,game_lists_6th_gen_enriched
Batman: Vengeance,Batman,2001,6th Generation,Nintendo GameCube,,Ubisoft,Ubisoft Montreal,Action-adventure,High,,game_lists_6th_gen_enriched
Battlefield 2: Modern Combat,Battlefield,2005,6th Generation,Sony PlayStation 2,,Electronic Arts,DICE,FPS,High,,game_lists_6th_gen_enriched
Bionicle,Bionicle,2003,6th Generation,Sony PlayStation 2,,LEGO Interactive,Argonaut Games,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle Heroes,Bionicle,2006,6th Generation,Sony PlayStation 2,,Eidos Interactive,Traveller’s Tales,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle,Bionicle,2003,6th Generation,Nintendo GameBoy Advance,,LEGO Interactive,Argonaut Games,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle Heroes,Bionicle,2006,6th Generation,Nintendo GameBoy Advance,,Eidos Interactive,Traveller’s Tales,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle: Matoran Adventures,Bionicle,2002,6th Generation,Nintendo GameBoy Advance,,LEGO Interactive,Traveller’s Tales,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle: Maze of Shadows,Bionicle,2005,6th Generation,Nintendo GameBoy Advance,,Eidos Interactive,Traveller’s Tales,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle,Bionicle,2003,6th Generation,Nintendo GameCube,,LEGO Interactive,Argonaut Games,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle Heroes,Bionicle,2006,6th Generation,Nintendo GameCube,,Eidos Interactive,Traveller’s Tales,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Bionicle Heroes,Bionicle,2006,6th Generation,Nintendo DS,,Eidos Interactive,Traveller’s Tales,Action-adventure,Medium,Developer/publisher varies by title/platform.,game_lists_6th_gen_enriched
Brothers in Arms: Earned in Blood,Brothers in Arms,2005,6th Generation,Sony PlayStation 2,,Ubisoft,Gearbox Software,Tactical Shooter,High,,game_lists_6th_gen_enriched
Brothers in Arms: Road to Hill 30,Brothers in Arms,2005,6th Generation,Sony PlayStation 2,,Ubisoft,Gearbox Software,Tactical Shooter,High,,game_lists_6th_gen_enriched
Brothers in Arms DS,Brothers in Arms,2007,6th Generation,Nintendo DS,,Ubisoft,Gearbox Software,FPS,High,,game_lists_6th_gen_enriched
Brothers in Arms: D-Day,Brothers in Arms,2006,6th Generation,Sony PlayStation Portable,,Ubisoft,Gearbox Software,FPS,High,,game_lists_6th_gen_enriched
Call of Duty: Finest Hour,Call of Duty,2004,6th Generation,Sony PlayStation 2,,Activision,Spark Unlimited,FPS,High,,game_lists_6th_gen_enriched
Call of Duty: World at War - Final Fronts,Call of Duty,2008,6th Generation,Sony PlayStation 2,,Activision,Rebellion Developments,FPS,High,,game_lists_6th_gen_enriched
Call of Duty 2: Big Red One,Call of Duty,2005,6th Generation,Sony PlayStation 2,,Activision,Treyarch,FPS,High,,game_lists_6th_gen_enriched
Call of Duty 3,Call of Duty,2006,6th Generation,Sony PlayStation 2,,Activision,Treyarch,FPS,High,,game_lists_6th_gen_enriched
Call of Duty 2: Big Red One,Call of Duty,2005,6th Generation,Nintendo GameCube,,Activision,Treyarch,FPS,High,,game_lists_6th_gen_enriched
Call of Duty: Finest Hour,Call of Duty,2004,6th Generation,Nintendo GameCube,,Activision,Spark Unlimited,FPS,High,,game_lists_6th_gen_enriched
Call of Duty 4: Modern Warfare,Call of Duty,2009,6th Generation,Nintendo DS,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_6th_gen_enriched
Call of Duty: Black Ops,Call of Duty,2010,6th Generation,Nintendo DS,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_6th_gen_enriched
Call of Duty: Modern Warfare - Mobilized,Call of Duty,2009,6th Generation,Nintendo DS,,Activision,,FPS,Medium,,game_lists_6th_gen_enriched
Call of Duty: Modern Warfare 3 - Defiance,Call of Duty,2011,6th Generation,Nintendo DS,,Activision,,FPS,Medium,,game_lists_6th_gen_enriched
Call of Duty: World at War,Call of Duty,2008,6th Generation,Nintendo DS,,Activision,Infinity Ward / Treyarch / Sledgehammer Games,FPS,Medium,Developer rotates by title; verify exact title if needed.,game_lists_6th_gen_enriched
Call of Duty: Roads to Victory,Call of Duty,2007,6th Generation,Sony PlayStation Portable,,Activision,Amaze Entertainment,FPS,High,,game_lists_6th_gen_enriched
Club Penguin: Elite Penguin Force,Club Penguin,2008,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot,2001,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Traveller’s Tales,Platformer,High,,game_lists_6th_gen_enriched
Crash: Mind Over Mutant,Crash Bandicoot,2008,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crash Nitro Kart,Crash Bandicoot,2003,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Vicarious Visions,Racing,High,,game_lists_6th_gen_enriched
Crash Tag Team Racing,Crash Bandicoot,2005,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Radical Entertainment,Racing,High,,game_lists_6th_gen_enriched
Crash of the Titans,Crash Bandicoot,2007,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crash Twinsanity,Crash Bandicoot,2004,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Traveller’s Tales,Platformer,High,,game_lists_6th_gen_enriched
Crash Bandicoot: The Huge Adventure,Crash Bandicoot,2002,6th Generation,Nintendo GameBoy Advance,,Vivendi Universal Games,Vicarious Visions,Platformer,High,,game_lists_6th_gen_enriched
Crash Bandicoot 2: N-Tranced,Crash Bandicoot,2003,6th Generation,Nintendo GameBoy Advance,,Vivendi Universal Games,Vicarious Visions,Platformer,High,,game_lists_6th_gen_enriched
Crash Bandicoot Purple: Ripto’s Revenge,Crash Bandicoot,2004,6th Generation,Nintendo GameBoy Advance,,Vivendi Universal Games,Vicarious Visions,Platformer,High,,game_lists_6th_gen_enriched
Crash Nitro Kart,Crash Bandicoot,2003,6th Generation,Nintendo GameBoy Advance,,Vivendi Universal Games,Vicarious Visions,Racing,High,,game_lists_6th_gen_enriched
Crash of the Titans,Crash Bandicoot,2007,6th Generation,Nintendo GameBoy Advance,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crash Nitro kart,Crash Bandicoot,2003,6th Generation,Nintendo GameCube,,Vivendi Universal Games,Vicarious Visions,Racing,High,,game_lists_6th_gen_enriched
Crash Tag Team Racing,Crash Bandicoot,2005,6th Generation,Nintendo GameCube,,Vivendi Universal Games,Radical Entertainment,Racing,High,,game_lists_6th_gen_enriched
Crash Boom Bang!,Crash Bandicoot,2006,6th Generation,Nintendo DS,,Vivendi Universal Games,,Platformer,Medium,,game_lists_6th_gen_enriched
Crash of the Titans,Crash Bandicoot,2007,6th Generation,Nintendo DS,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crash: Mind Over Mutant,Crash Bandicoot,2008,6th Generation,Nintendo DS,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crash of the Titans,Crash Bandicoot,2005,6th Generation,Sony PlayStation Portable,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crash Tag Team Racing,Crash Bandicoot,2005,6th Generation,Sony PlayStation Portable,,Vivendi Universal Games,Radical Entertainment,Racing,High,,game_lists_6th_gen_enriched
Crash: Mind Over Mutant,Crash Bandicoot,2008,6th Generation,Sony PlayStation Portable,,Vivendi Universal Games,Radical Entertainment,Platformer,High,,game_lists_6th_gen_enriched
Crazy Taxi,Crazy Taxi,2001,6th Generation,Sony PlayStation 2,,SEGA,Hitmaker,Racing,High,,game_lists_6th_gen_enriched
Crazy Taxi,Crazy Taxi,2001,6th Generation,Nintendo GameCube,,SEGA,Hitmaker,Racing,High,,game_lists_6th_gen_enriched
Crazy Taxi: Fare Wars,Crazy Taxi,2007,6th Generation,Sony PlayStation Portable,,SEGA,Sniper Studios,Racing,High,,game_lists_6th_gen_enriched
Catwoman,DC,2004,6th Generation,Sony PlayStation 2,,Electronic Arts,Argonaut Games,Action-adventure,High,,game_lists_6th_gen_enriched
Catwoman,DC,2004,6th Generation,Nintendo GameCube,,Electronic Arts,Argonaut Games,Action-adventure,High,,game_lists_6th_gen_enriched
Green Lantern: Rise of the Manhunters,DC,2011,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Justice League Heroes,DC,2006,6th Generation,Sony PlayStation 2,,Warner Bros. Interactive Entertainment,Snowblind Studios,Action RPG,High,,game_lists_6th_gen_enriched
Justice League: Injustice for All,DC,2002,6th Generation,Nintendo GameBoy Advance,,Warner Bros. Interactive Entertainment,Snowblind Studios,Action RPG,High,,game_lists_6th_gen_enriched
Justice League: Chronicles,DC,2003,6th Generation,Nintendo GameBoy Advance,,Warner Bros. Interactive Entertainment,Snowblind Studios,Action RPG,High,,game_lists_6th_gen_enriched
Justice League Heroes: The Flash,DC,2006,6th Generation,Nintendo GameBoy Advance,,Warner Bros. Interactive Entertainment,Snowblind Studios,Action RPG,High,,game_lists_6th_gen_enriched
Justice League Heroes,DC,2006,6th Generation,Nintendo DS,,Warner Bros. Interactive Entertainment,Snowblind Studios,Action RPG,High,,game_lists_6th_gen_enriched
Justice League Heroes,DC,2006,6th Generation,Sony PlayStation Portable,,Warner Bros. Interactive Entertainment,Snowblind Studios,Action RPG,High,,game_lists_6th_gen_enriched
Superman Returns,DC,2006,6th Generation,Sony PlayStation 2,,Electronic Arts,EA Tiburon,Action-adventure,Medium,,game_lists_6th_gen_enriched
Superman: Shadow of Apokolips,DC,2002,6th Generation,Sony PlayStation 2,,Electronic Arts,EA Tiburon,Action-adventure,Medium,,game_lists_6th_gen_enriched
Superman: Countdown to Apokolips,DC,2002,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,EA Tiburon,Action-adventure,Medium,,game_lists_6th_gen_enriched
Superman: Shadow of Apokolips,DC,2002,6th Generation,Nintendo GameCube,,Electronic Arts,EA Tiburon,Action-adventure,Medium,,game_lists_6th_gen_enriched
Superman Returns,DC,2006,6th Generation,Nintendo DS,,Electronic Arts,EA Tiburon,Action-adventure,Medium,,game_lists_6th_gen_enriched
Devil May Cry,Devil May Cry,2001,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 4,Hack and slash,High,,game_lists_6th_gen_enriched
Devil May Cry 2,Devil May Cry,2003,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 1,Hack and slash,High,,game_lists_6th_gen_enriched
Devil May Cry 3: Dante’s Awakening,Devil May Cry,2005,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 1,Hack and slash,High,,game_lists_6th_gen_enriched
Dino Stalker,Dino Crisis,2002,6th Generation,Sony PlayStation 2,,Capcom,Capcom,Light gun shooter,High,,game_lists_6th_gen_enriched
Classic NES Series: Donkey Kong,Donkey Kong,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Platformer,High,Classic NES Series re-release.,game_lists_6th_gen_enriched
Donkey Kong Country,Donkey Kong,2003,6th Generation,Nintendo GameBoy Advance,,Nintendo,Rare,Platformer,High,,game_lists_6th_gen_enriched
Donkey Kong Country 2,Donkey Kong,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Rare,Platformer,High,,game_lists_6th_gen_enriched
Donkey Kong Country 3,Donkey Kong,2005,6th Generation,Nintendo GameBoy Advance,,Nintendo,Rare,Platformer,High,,game_lists_6th_gen_enriched
Donkey Konga,Donkey Kong,2003,6th Generation,Nintendo GameCube,,Nintendo,Namco,Rhythm,High,,game_lists_6th_gen_enriched
Donkey Konga 2,Donkey Kong,2004,6th Generation,Nintendo GameCube,,Nintendo,Namco,Rhythm,High,,game_lists_6th_gen_enriched
Donkey Konga 3,Donkey Kong,2005,6th Generation,Nintendo GameCube,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
Donkey Kong: Jungle Beat,Donkey Kong,2004,6th Generation,Nintendo GameCube,,Nintendo,Nintendo EAD Tokyo,Platformer,High,,game_lists_6th_gen_enriched
Diddy Kong Racing DS,Donkey Kong,2007,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
DK Jungle Climber,Donkey Kong,2007,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Doom,Doom,2001,6th Generation,Nintendo GameBoy Advance,,Bethesda Softworks,id Software,FPS,High,Older entries were originally published by id/GT Interactive; canonical modern publisher set to Bethesda.,game_lists_6th_gen_enriched
Doom II: Hell on Earth,Doom,2002,6th Generation,Nintendo GameBoy Advance,,Bethesda Softworks,id Software,FPS,High,Older entries were originally published by id/GT Interactive; canonical modern publisher set to Bethesda.,game_lists_6th_gen_enriched
Duel Masters,Duel Masters,2004,6th Generation,Sony PlayStation 2,,Atari,High Voltage Software,Card battle,Medium,,game_lists_6th_gen_enriched
Duke Nukem Advance,Duke Nukem,2002,6th Generation,Nintendo GameBoy Advance,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Duke Nukem: Critical Mass,Duke Nukem,2011,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
F-Zero: Maximum Velocity,F-Zero,2001,6th Generation,Nintendo GameBoy Advance,,Nintendo,Amusement Vision,Racing,High,,game_lists_6th_gen_enriched
F-Zero GX,F-Zero,2003,6th Generation,Nintendo GameCube,,Nintendo,Amusement Vision,Racing,High,,game_lists_6th_gen_enriched
Fatal Frame,Fatal Frame,2001,6th Generation,Sony PlayStation 2,,Tecmo,Tecmo,Survival Horror,High,,game_lists_6th_gen_enriched
Fatal Frame II: Crimson Butterfly,Fatal Frame,2003,6th Generation,Sony PlayStation 2,,Tecmo,Tecmo,Survival Horror,High,,game_lists_6th_gen_enriched
Fatal Frame III: The Tormented,Fatal Frame,2005,6th Generation,Sony PlayStation 2,,Tecmo,Tecmo,Survival Horror,High,,game_lists_6th_gen_enriched
Final Fantasy X,Final Fantasy,2001,6th Generation,Sony PlayStation 2,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy X-2,Final Fantasy,2003,6th Generation,Sony PlayStation 2,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy XI,Final Fantasy,2002,6th Generation,Sony PlayStation 2,,Square Enix,Square Enix,MMORPG,High,,game_lists_6th_gen_enriched
Final Fantasy XII,Final Fantasy,2006,6th Generation,Sony PlayStation 2,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy I & II: Dawn of Souls,Final Fantasy,2004,6th Generation,Nintendo GameBoy Advance,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy IV Advance,Final Fantasy,2005,6th Generation,Nintendo GameBoy Advance,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy V Advance,Final Fantasy,2006,6th Generation,Nintendo GameBoy Advance,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy VI Advance,Final Fantasy,2006,6th Generation,Nintendo GameBoy Advance,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy Tactics Advance,Final Fantasy,2003,6th Generation,Nintendo GameBoy Advance,,Square Enix,Square Enix,Tactical RPG,High,,game_lists_6th_gen_enriched
Final Fantasy Crystal Chronicles,Final Fantasy,2003,6th Generation,Nintendo GameCube,,Square Enix,The Game Designers Studio,Action RPG,High,,game_lists_6th_gen_enriched
Final Fantasy Crystal Chronicles: Echoes of Time,Final Fantasy,2009,6th Generation,Nintendo DS,,Square Enix,The Game Designers Studio,Action RPG,High,,game_lists_6th_gen_enriched
Final Fantasy Crystal Chronicles: Ring of Fates,Final Fantasy,2007,6th Generation,Nintendo DS,,Square Enix,The Game Designers Studio,Action RPG,High,,game_lists_6th_gen_enriched
Final Fantasy Fables: Chocobo Tales,Final Fantasy,2006,6th Generation,Nintendo DS,,Square Enix,Square Enix,JRPG,High,,game_lists_6th_gen_enriched
Final Fantasy III,Final Fantasy,2006,6th Generation,Nintendo DS,,Square Enix,Square Enix / Team Ninja,JRPG,Medium,Developer differs by title; Team Ninja for Stranger of Paradise.,game_lists_6th_gen_enriched
